注：每行第一个词为母词，后续为扩充词
不合时宜 不合适宜 合时宜 不适时宜 煞风景 不识时务 不伦不类 不得体 不太合适 荒唐 杀风景
不同 相同 同的 不尽相同 所不同 各有不同 同 各不相同 不一样 不同人 千差万别
不安 焦躁 惶恐 恐惧 忧虑 感到不安 焦躁不安 惶惑 惶恐不安 焦虑不安 烦躁
不成文 不成文的规矩 不成文规定 约定俗成 约定成俗 规矩 明文规定 铁律 死规矩 行规 规距
不明 未明 不清楚 情况不明 无法确定 无法判断 来历不明 可疑 不清 不明确 难以确定
不甘 不甘心 愤恨 愤懑 心有不甘 悲愤 怨恨 无可奈何 甘心 无奈 甘与
不确定性 不确定性因素 不确定因素 确定性 不确定风险 不确定性风险 风险和不确定性 未来的不确定性 高度不确定性 市场的不确定性 市场不确定性
中止 终止 暂时中止 中断 暂时停止 暂缓 停止 撤回 无法继续 叫停 撤回申请
之前 之后 前 时候 不过 过 所以 现在 在之前 因为 但是
也许 或许 也许我们 也许你 也许是 可能 也许在 只是 我想 亦或许 但我
交代 交待 交代清楚 全部交待 如实 隐瞒 审讯 供认 犯罪经过 作案经过 坦白
任意 任意选择 可任意 随意选择 任一 任意数量 可以自由 随心所欲 任意组合 自由选择 随意挑选
似乎 好像 或许 貌似 不过 然而 显然 却 只不过 像是 的确
依赖 过度依赖 极度依赖 依赖性 过于依赖 完全依赖 依赖程度 过分依赖 依靠 依赖于 依赖度
修改 修改后 再次修改 做修改 做出修改 修改内容 重新修改 部分修改 更改 修改和补充 多次修改
修正 修正过程 调整修正 时间修正 修正前 被修正 不断修正 修正数据 修正目标
调整 调整后 调整中 微调 再调整 整体调整 全面调整 作调整 调整完成 快速调整 幅度调整
偏差 误差 疏漏 偏离 不准确 差异 偏移 产生误差 测量误差 偏颇 差错
修订 全面修订 修订后 修订工作 重新修订 新修订 修订完善 修订内容 修订意见 修订版本 修改和完善
假定 假设 假设前提 假设条件 再假定 可以得出 假定前提 基本假设 计算 假如 理性人
假设 假定 假设前提 假设条件 举个例子 假如 计算 结论 可以得出 推导 前提假设
偏差 误差 疏漏 偏离 不准确 差异 偏移 产生误差 测量误差 偏颇 差错
偏离 完全偏离 偏移 严重偏离 偏离目标 偏离正轨 偏差 走偏了 脱离轨道 走偏 调整方向
偶然 偶然的 碰巧 偶然地 偶然之间 偶然间 一次偶然 无意中 纯属偶然 偶然一次 无意间
偶尔 偶尔会 偶而 时不时 只是偶尔 时常 有时候 有时 时不常 偶有 大多数时候
出现 会出现 经常出现 再次出现 出现明显 可能出现 再出现 反复出现 现象 存在 在
初步 雏形 进一步 初步确定 确认 大致 初步形成 初步成果 第二阶段 确定 尚未
动荡 动荡不安 动乱 大动荡 动荡不定 政治动荡 局势动荡 巨变 政局 风雨飘摇 社会动荡
十字路口 路口 十字路 交叉路口 丁字路口 三岔路口 红绿灯路口 红绿灯 岔路口 路口处 三叉路口
危险 非常危险 潜在危险 很危险 潜在的危险 危险性 严重危险 危险情况 死亡的危险 生命危险 发生危险
反常 不寻常 不合常理 不正常 反常现象 反常行为 怪异的举动 奇怪 怪异 蹊跷 不同寻常
反思 深刻的反思 深刻反思 去反思 反省 自我反思 自我反省 反省自身 思考 再反思 反省自己
可以 也可以 能 能够 也能 还能 就能 也可 可以可以 如果 可
可想而知 可以想象 不言而喻 难以想象 由此可见 想而知 可见一斑 不亚于 且不说 之大 无法想象
可能 可能会 很可能 如果 因为 或许 所以 也许 甚至 而 的
可能性 概率 几率 机率 能性 可能 可能性很小 可能性不大 很可能 风险 发生的可能性
尝试 去尝试 大胆尝试 再尝试 尝试过 不断尝试 勇敢尝试 大胆的尝试 多尝试 再次尝试 勇敢的尝试
地方 这个地方 这里 那里 那个地方 之处 一个地方 在这里 其他地方 地儿 之地
大概 大约 估计 差不多 也就 左右 大抵 大致 至少 也许 只有
大约 左右 大概 约为 约有 将近 约50 据估计 约70 即约 差不多
定义 标准定义 界定 具体定义 标准的定义 定义一 精确定义 基本定义 定义方式 概念的定义 统一定义
察觉 察觉到 查觉 觉察到 觉察 发觉 察觉出 擦觉 觉查 发觉到 觉察出
审视 重新审视 审度 再审视 审视历史 检视 自我审视 审视自我 正视 认真思考 审思
差异 差别 差异性 存在差异 区别 差异比较 差异较大 差异大 差别很大 细微差别
不同 相同 同的 不尽相同 所不同 各有不同 同 各不相同 不一样 不同人 千差万别
几乎 基本上 都 基本 都是 就连 甚至 全都 也都 所有的 唯独
建议 强烈建议 不建议 个人建议 朋友建议 建议三 可以考虑 建议1 具体建议 建议一 建议二
待定 时间待定 暂定 暂未确定 暂未定 暂时未定 未定 暂不确定 时间未定 还未定 具体时间
很少 极少 鲜少 比较少 非常少 并不多 鲜有 少之又少 几乎没 甚少 基本不
思考 去思考 深入思考 深度思考 深度的思考 思考…… 深入的思考 再思考 认真思考 反思 不断思考
想象 想像 想象中 去想象 设想 想象未来 无法想象 想象生活 那样 想象力 想像到
意外 出乎意料 意外出现 惊喜 意想不到 意外发生 太意外 出人意料 感到意外 小意外 意外之外
意想不到 意料不到 意想不到的结果 意外的惊喜 意想不到的惊喜 出乎意料 意想不到的事 想不到 意外惊喜 最意 意外
应急 应急储备 应急方案 应对突发 应急措施 突发事件应急 应对突发事件 城市应急 救急 应急保障 日常应急
投机 投机交易 投机活动 投机行为 投机者 股市投机 市场投机 投机客 金融投机 投资和投机 投机炒作
投资 投资中 投资项目 投资的项目 去投资 个人投资 其它投资 大额投资 基金投资 投资投资 参与投资
接近 逼近 非常接近 达到 低于 超过 左右 高于 趋近 将近 已经
推定 法律推定 不能成立 高度盖然性 盖然性 证明责任 故该 举证 提出证据 意思表示 证明妨碍
